index,Tweet,Sentiment_llm
20521,"Experienced software engineer and lecturer🐻☝️

ShowMan🤘🧸

Founder and CEO at RedRocket👑👑👑",0
23032,"Dependency is not love, revenge is not justice, complacency is not peace and having issues is not weak.",0
20955,"Love Life, People, Animals, Technology, Gadgets, Engineering, Space.

Disclaimer: I am not responsible for anything I say, I don't know what I am saying!",0
12873,Ï Adventures in fatherhood. Encouraging all good Dads everywhere. Especially in #Ukraine. #fatherhood #dad 📷@alex_ivanchak; artist Serhii Pertsev,0
30064,"Nordlicht aus #Kiel im Südwesten in #Karlsruhe. #Holacracy @unic, Apple-User, Hater and iOS-Terrorist - #S04, #FCSP.",0
25356,"Agroecology 🌱 Nature-Friendly Farming
#PölyttäjäystävällinenMaatila 🐝🪲
@UniTurku @UTurkuBiodiv 
@helsinkiuni https://t.co/acqIqm1G4i…
https://t.co/PJpgvIonTG",0
27676,"💙Socialist, anti-racist, anti fascist, anti-Zionist. Black Lives Matter. Palestinian Lives Matter. #FreePalestine #EndApartheid",0
7669,"Professional Photographer 🇺🇦 NFT artist ▪ 3 SOLD OUT ▪
▪ EDITIONS ▪
https://t.co/8jFCqJw8rV
 ▲●■ 
 https://t.co/BaHp7dAelW
Links👇",0
13175,"Wer Rechtschreibfehler findet, darf diese behalten, hier twittert in Teilen die Autokorrektur 🙃",0
26617,Der Andy. BVB 🖤💛 Fussball und Trash TV. Meine Tweets könnten Spuren von Ironie enthalten 😆 Space Nerd 🚀🌚⭐ Whovian 🚨 #IstandwithUkraine 💙💛🇺🇦🇩🇪,1
22673,"Digital Sniper, Good trouble, focused Ukraine | news aggregation about the 🇷🇺 War against Ukraine 🇺🇦
#NAFOfellas #WeAreNAFO

- devops - looking for a job!!!",0
12928,"Politik und Zeitkritik. 
Nachrichten, Hintergründe und Kommentare zu Europa 🇪🇺, Ukraine 🇺🇦, Deutschland 🇩🇪, Russland.",0
24164,IOS Developer,0
4989,"The #Fed ALWAYS protects asset prices & WANTS inflation, until proven otherwise.  Democrats are worsening this inflation.  #VoteRepublican in November 2022.🇺🇸",0
24302,"Full Time Trader, Traveller, Data Junkie (from Sydney 🇦🇺)",0
16983,"I’m Not Dead Yet, I have my 5G chip and I am candidate for PM of Canada.",0
2714,"Дніпро - велике багатонаціональне  українське місто. Головні події міста. Цікаві факти та історії, гумор і не тільки...",0
32340,"العراق ♥ روسيا / 🇷🇺🇮🇶☭
حفظ الله العراق و روسيا العظمى وبلاد العرب الحبيبة Ирак и Россия
iraq.Rusaia",0
15229,"J'ai écrit un un truc qui s'intitule #Pukhtu (@Gallimard), il y a plein de #Citoyensclandestins dedans. IG: https://t.co/tIGgidnyRR Photo © Patrick Cockpit.",0
28356,"I'm a bot. Every minute of every day, I tell Putin to go fuck himself in various languages of the world. #IStandWithUkraine 🇺🇦",1
19841,"penso alle cose e al cambiamento necessario e possibile, e ne tengo appunti e link per gli amici. Chi fa solo propaganda stia lontano...posso mordere o bannare.",0
34525,"51, veggie momcat of  now angel Gizzy, Thori & angel Sisi, my second hand kitties, no mass tagging please!!! And DMs only if they´re really urgent, NO SPAM.",0
982,"#greentreeimmigration®️
#Immigrationexperts
We believe in Quality💯
0% Rejection Rate 
The Migration Path",0
22332,"no matter where we are :) we're always close and together in Spirit and Heart :) and will always be, to Infinity :)",0
31851,he / him,0
18088,nature,0
4298,"🔝Crypto x NFT Content Creator ▶#metapurseAcademy x @nasacademy
💎🇸🇬🇲🇾
🔊Storyteller 
🤖Web3 x Metaverse 
👨‍🎨Creator/Curator @artmuseumnft",0
17094,Ukrainian from Kherson #khersonisukraine,1
11476,Cuenta de Twitter oficial. Sigue también a @LaJornada para noticias de la versión impresa.,0
1896,🇺🇦,0
4470,"I'm a bot. Every minute of every day, I tell Putin to go fuck himself in various languages of the world. #IStandWithUkraine 🇺🇦",1
4822,"Gardien de proprprivées, Je dénonce ici le nombre de gardiens payés au black ou non déclarés. Rejette tout extremisme #Climat/Terrorisme / Géopolitique",0
25298,Co-Founder & COO at @StoboxCompany,0
221,Мій офіційний twitter-аккаунт,0
33861,"Sassy Insur./Investment Advisor; Choir Dir. & Singer; Challah baker; #BrownUniv. alum; Recov'g Theatre Prod/Dir. 
#Resistance #BlueWave
 No lists, please.",0
23117,"In the bad, we find the good ✍️ Poet | Filmmaker https://t.co/3Hi6LrJWLH",0
33478,"These are my tweets and my tweets alone. They are not the views of people I work for, or work with. Ukraine matters",0
26533,Ukrainian Russophobe.  23 years old.  Lviv,-1
4000,⚖️ Religiöser Mensch🕯️Diener Gottes 🔔 Manchmal Weise 😇 Gelegentlich eine Spur zu Laut😏... kein Engel..🙄...fehlerbehaftet..wachsam 👁️,0
4075,"Don Mashak,The Cynical Patriot: Progressives are EVIL! #AdministrativeState is TREASON. #Conservative #NaturalLaw  #RestoreOurRepublic #Military NUKE THE #RINOs",0
20418,Breaking news alerts and biggest stories in and around the world | #Politics | #Business | #Football | #Entertainment |,0
11349,"Fan F1, ex-wydawca, aktualny współpracownik F1 Racing i GP Racing.

F1 fan, ex-publisher, current contributor of F1 Racing and GP Racing.",0
6380,"Kyiv, Ukraine 🇺🇦 #УкрТві #travel, #fun #bike 😃🚵🏻🏊♌👬🇪🇸🇬🇧🏳️‍🌈 #gay #cycling #вело #snapchat 👻goUAfun",0
19739,"O verbo imperfeito. Sou simples, sou composto, oculto indeterminado; sou particípio e sou gerúndio; sou fonema. Sou adjetivo. E como predicado, eu sou sujeito.",0
9339,#Bitcoin #Ethereum #Hodl #Trading #Cryptocurrencies #StopRussianAggression,1
32189,Geçit yok ...,0
25790,"SOCIALISM DICTATORSHIP 
SOCIALISME DICTATURE 
SOCIALISMO DICTADURA

FREEDOM DEMOCRACY CAPITALISM 
LIBERTÉ DEMOCRATIE CAPITALISME
LIBERTAD DEMOCRACIA CAPITALISMO",0
19767,UK non-profit that provides support to communities in crisis to manage humanitarian issues and represent the needs of people affected by violence or poverty.,0
11764,Hi! The deity of the ___.,0
3411,"📎🔴 Tutto serve e nulla serve: un seme può esser cibo per scoiattoli, oppure generare una quercia robusta.▪️(NO dem, please) io DX",0
163,"I'm a bot. Every minute of every day, I tell Putin to go fuck himself in various languages of the world. #IStandWithUkraine 🇺🇦",1
27617,always put yourself in others shoes,0
4903,Благодійний фонд АГУНА. Фейсбук👉https://t.co/dwqvqzE18p,0
7538,SOMOS los del 18 OCTUBRE... Piñera a la cárcel -  Hijos de San Martín y Bolivar construyen la patria grande 🇨🇱🇻🇪,0
891,"Fils d'immigrés italiens, «je n'ai pas une goutte de sang français mais la France coule dans mes veines.»
Stop immigration et islamisation.
Reconquête EZ !",0
14006,𝙳𝚎𝚛 𝚁𝚊𝚑𝚖𝚎𝚗 𝚍𝚎𝚜 𝙼ö𝚐𝚕𝚒𝚌𝚑𝚎𝚗. 𝚅𝚒𝚜𝚒𝚘𝚗𝚎𝚗 𝚏ü𝚛 𝚍𝚎𝚗 𝚋𝚎𝚜𝚌𝚑𝚛ä𝚗𝚔𝚝𝚎𝚗 𝙱𝚕𝚒𝚌𝚔. 𝙸𝚌𝚑 𝚏𝚘𝚕𝚐𝚎 𝚟𝚘𝚛 𝚞𝚗𝚍 𝚣𝚞𝚛ü𝚌𝚔.,0
22019,⚠️Actu de Jacques Frère - Guerre du #Donbass depuis 2014 #Russie #Crimée #Novorossia #Ukraine #DNR #LNR & éventuellement d'autres guerres de l'Empire ! 💥,0
19180,"#Novelist & 🇨🇦 #Poet #Fantasy ⚔🦄 #Fiction #Writer..✏️ ..#believer of things not seen..it's #logical
..do not be offended by your own words..",0
14105,"Inĝ. pri elektroniko. Interesoj: Artefarita Intelekto (inkluzive kreivecon kaj humuron),Fiziko, Scienco,Homaspektaj Robotoj,Teknologio,TRIZ,Esperanto,Fotografio",0
31235,"🇺🇦 Адвокат. Телеграм👉https://t.co/6GDPmCrc9F Слідкуйте за правом ✍@knpartners, @antiraid, @UIFL_union #Ukrainе #Україна Instagram👉https://t.co/kgV3smi21Y",0
19434,💋Well Behaved Women Seldom Make History💋#BodilyAutonomy Women’s rights shouldn’t be a fight.#GOPWomenAreRegressiveVipers #IllegitimateSCOTUS #RoeVember2022,0
16022,I am the passenger and I ride and I ride. Саморефлексії та котики. Сокіабле.,0
29453,Medio alternativo y comunitario de comunicación para la transformación social,0
4694,"🇿🇦I run, I party, I like Margaritas oh and shoes! I love shoes !! Giants Fan :) x",0
2621,"Family, Liberty, Poker, Death Metal, Hardcore, Punk Rock, Old Country, Foodie, Whisky, Guns, George Jones, Las Vegas. #FAFO #WSOP #WPT #America",0
4643,"Playing 80's - 90's Themed Rock. 
Featuring Local Bands. 
All Rock / All Local / All The Time 
Commercial Free! Tell All Your Friends!",0
10275,"@corq's snark account. 

#cyber #linux #agitprop #cats #Україна 🤜 Bulture Brobby 🤛

🇺🇦 Currently in full #Ukraine News mode 🇺🇦

All cats retweeted.",0
11480,Твітерянин з України.,0
10207,"Je soutien la politique de @EmmanuelMacron 

Peut-on changer le monde 🌏 en 280 caractères !

Adhérent de @HorizonsLeParti #VoirLoinPourFaireBien",0
10612,Fine art photography and photo art. Photojournalism. YHWH,0
4757,"Helping smart stomp stupid, one Tweet at a time. Work hard, play often, love thy neighbor. YOLO (on earth) Isaiah 41:10",0
15372,Journalist #Ukraine since 2013 @libe @rfi @letemps @lesoir. Covering the war. Doing docs. Co-author of a biography on V. Zelensky published by @Robert_Laffont,1
23039,Dalla Russia con furore. Ricambio folow. No DM.,0
11044,"Frmr lawyer, investment banker. Current consultant, Visiting Lecturer on strategy & competitive intelligence in shipping. System approach/tweets.",0
25997,Socially awkward. Geek. Dork. Nerd. Retired. https://t.co/vCDHvXGxOZ,0
2242,Do not give up!,0
10516,...,0
12403,"Sports and News topics happening in the ""D"" and around the World..... see blog posts at https://t.co/tuHQEvMP1z

Formerly CupofJoeintheD",0
4706,เกลียดรัสเซียมากที่สุด!!! กำลังใจจากคนที่เข้าใจคือยาวิเศษ ที่ช่วยเติมพลังในยามที่ท้อแท้ 🇺🇦🇺🇦🇺🇦,1
9354,Passionate about #EverCloserUnion 🇪🇺 EU & #democracy | Historian | Current affairs | Geopolitics | Russia & CEE watcher | Marathonian,0
19337,"International travel, sports & family. Too little time, too much to do. Founder RoyBurtonsShortsAppreciationSociety! Ipsden FC 77-80.",0
11663,Something i want achieve that nobody in the universe achieves,0
34434,"""SOUVENEZ-VOUS DU PASSÉ ET CONSTRUISEZ L'AVENIR ""

""QUAND UNE ETOILE S ÉTEINT ELLE N ÉTEINT PAS LE CIEL ""

📷📺📻📡 https://t.co/pSKe54oykc",0
32073,Memento mori,0
17863,"Grief is the price we must pay for love...
International traveller, truth-seeker & Gummy Bear connoisseur. Questions Still Remain",0
23777,"Playing 80's - 90's Themed Rock. 
Featuring Local Bands. 
All Rock / All Local / All The Time 
Commercial Free! Tell All Your Friends!",0
29813,"Reshaping the World: Ethics, Global Governance, Policy & Strategy in the New Millennium, Editor Pedro Meléndez-Ortiz #DigitalDiplomacy",0
1903,"🌐✈Blog de aviación, viajes y economía para viajeros
✈Aviation, travel and economy for travelers",0
27665,"We Are Ukraine United - For,By& To Ukraine",1
3179,"Founded by a small group of purged academics, NAT offers critical #news, views and tweets regarding #Turkey. You’re welcome to submit your op-ed for publication",0
9096,ناقل لأخبار للحرب الروسية الأوكرانية والأخبار العالمية,0
1319,"I'm a bot. Every minute of every day, I tell Putin to go fuck himself in various languages of the world. #IStandWithUkraine 🇺🇦",1
30662,¿Esta usted cansado ¡JARTOYA! de la corrupción política de su país? ¿Tiene usted gobierno con los oídos sordos? Dígaselo al mundo ¡Denúncielo YA! #LaMarchaSigue,0
31687,"Official handle of National Hindi News Channel TV9 भारतवर्ष.
फेसबुक और यूट्यूब पर जुड़ें हमारे साथ 
https://t.co/tmjuJb4hnC |
https://t.co/X5SvQuQdV8",0
7290,"I'm a bot. Every minute of every day, I tell Putin to go fuck himself in various languages of the world. #IStandWithUkraine 🇺🇦",1
6948,FIGHT FOR DEMOCRACY; N A F O  undercover StopRussia StandWithUkraine StandWithZelenskyy antiTRUMP BlueWAVE BlueCrew join the best https://t.co/Njt3xijpI6,1
13418,"Ayer y hoy militante por la justicia, la igualdad y la solidaridad. Inmediatamente me di cuenta que era algo por lo que merecía la pena luchar. #porlaRepública",0
28749,"Founder - Plutus Group | Global Trader & Investor

YouTube Link : https://t.co/nin9QXlyVQ | 
Telegram :  https://t.co/beF594HzLs",0
16843,"Abhor Media Propaganda/Socialism/Communism. Censorship is tyranny. I Value #Constitution #Truth, #1A #2A & freedom. I ❤️ Dogs/Nature/hiking/golf",0
18522,"#StopTigrayGenocide

#Justice4TigraysWomenAndGirls
🌎Place HelpTigray people💔😭#TigrayGenocide #CallItAGenocide",1
27195,"Me is just me😏🇺🇦
Тримаюся силами самісінької люті😈",0
18312,"WAHLPROGNOSTIKERIN
Да здравствует Украина, долой Путина!
Putin Medwedew Lawrow Schoigu Kyrill Fall für Den Haag
Xi Jinping begeht Völkermord an Uiguren
台湾万岁！",1
7857,"designer 🇫🇮🇪🇺  European
Environment  Climate  Renewables Wind solar
Peace Justice Human Rights  
 📷🎨Art History Science  
Istituto d'Arte di Firenze...",0
31211,"Non–partisan, independent analyses on security, strategy, economy, development, energy & global governance",0
19087,"New Acct-quit due to Twit Jail. Ret Army Pilot, Expert Log, Opns Strategy,Prog Mgmt, Germany, Korea, Kuwait, Afgh, Iraq Rebuilding account #VoteBlue #VetsVote",0
26635,I am who I am... I say what I think... And how unpredictable I am...,0
11116,Homo homini lupus est,0
34741,"Que feras-tu de ta liberté si le reste de l'humanité est enchainé ?
Partager la vérité pour faire grandir la liberté
https://t.co/UNCjJAILrq",0
25360,"交通事故0を実現し事故で苦しむ人を無くす。
50年も続く交通戦争を終結させるのは人が車を運転しない事だ！
交通取締まりや安全啓発活動では終結せず。皆が安全と認めるINNOVATION安心して乗る自動運転車とその世界普及が交通戦争を終結させる最後の切り札だ！国 官民 企業間の垣根を越えAll WORLDでやりましょうよ！",0
4421,"I'm a bot. Every minute of every day, I tell Putin to go fuck himself in various languages of the world. #IStandWithUkraine 🇺🇦",1
21465,Людина як людина ..,0
24355,I'm here only to irritate narrow minded people and hypocrites.,0
21772,Lawyer,0
8883,"Unharmful and innocent, nothing suspicious about me 🐱",0
14654,#愛新中國聯邦#愛爆料革命#愛台灣#愛台灣#我們是消滅邪惡中國共產黨的新中國人，中國共產黨是全世界災難的根源，只有消滅中國共產黨才能拯救全人類#只有面對邪惡，直擊邪惡，才是最大的善道#感謝所有在前線戰鬥的戰友，感謝您拯救全中國人，拯救所有海外中國人的安全，拯救中國人孩子的未來，謝謝您的付出，您太偉大了#,0
24780,كـاتـب ونـاقـد فـنـي لصـحـن #الـفـول❤️إذا يزعجك طرحي وفكري لا تزعج نفسك بمتابعتي❤️إذا عشقت لا تعشق غير شيئاً خالد ❤️الحرية أمانة ومسؤولية❤️ سعودي الهوى والهوية,0
23950,"Goals: Stand up for justice, liberty, truth, reality.   Be aware of implicit bias.  Block asshattery.  Remember, physics wins in the end.  Take time to write.",0
19456,"A #Bulgarian who feels at home in #Croatia. Student at Maastricht University. Founder of https://t.co/IVJnZlZWb6. Fond of #Balkans, #enlargement, #EU affairs",0
29822,"The oligarchy doesn't like its lies refuted.

Prior 10-year account eliminated because I don't pull punches.

Truth slapping the murder puppets.",0
34930,SAVAŞ HABERLERİ.,0
33829,фак ю орки,0
16444,"Gemeinsam gegen Hass und Hetze! #FairerUmgangMiteinander 
#Stopwar 🕊 🇺🇦",1
85,ウクライナの首都キエフから、最新情報をお届けします。 大阪府出身で、関西弁しか喋れませんが、よろしくお願いします。 ウクライナ人の妻と子供２人の４人家族です。             コメントは全て目を通しています。ご意見ご質問はこちらからお願いします  ukraineinformation2022@gmail.com,0
8037,"Wife,Mom,MS Caregiver conservatarian",0
10057,"Ni à droite, ni à gauche, ni au centre, inclassable, origines diverses, Ukraine, Pologne, France, Je respecte les origines de tout le monde faite la même chose!",0
27583,"CFA at @ZacharyGroupLLC; Pernicious Anemia survivor; short $TSLA via puts; long $DISH, $CHTR, $CMCSA; Not investment advice.",0
20422,"FACTS, not FEELINGS! 
Mean Tweets?
RT's ❌ endorsement
❤️ by @tomhanks & @RudyGiuliani
🚫by @PeteStrzok
RT by @StevePieczenik",0
8961,"Finance student @sapienzaroma
On Twitter to support @Ukraine
Слава Україні! 🇺🇦✙
Путін - хуйло!
#ArmUkraineNow",1
22092,PM at Saltstone Capital. BAMA. Believer. Energy/Investing/College Football/Wine & Political Enthusiast.Tweets are mine. Assume it's our book. Nothing is advice!,0
26449,"#Keskusta #vaalit #Turku 🍀🇫🇮🇪🇺🌍 #jesuisprof #opehommat #partio

Education, History, Politics & Scouting. Turkulainen erityisopettaja ja isi, NV👑",0
22397,вічне недосипання чистого розуму.,0
15081,@Kanal7 Dış Haber. Yazar ve editör. İletişim : bartueken1@gmail.com • Beğeniler arşiv amaçlıdır. Yorumlar da kişisel olup bir kurumu bağlamaz.,0
21909,"Tracking weapons & battles tracking over 1,400 channels. tracking weapons & warcrimes in Syria & Ukraine. Veteran US Army 
Born 1970, ILWU",0
23639,"Welshmen Will Not Yield 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Living in Kyiv Oblast / Zaporizhzhia. Defending Ukraine, CDU. Also known as Neil'ka.
Слава України! 🇺🇦 ❤️
#stoprussia",1
2262,"Die West-Ost-Gesellschaft BaWü (WOG) baut Brücken, u.a. nach Belarus u. Russland. Themen: Verständigung, Austausch, humanitär-medizinische Zusammenarbeit.",0
1840,Ne saprete sempre più di me.,0
33664,"Author, journalist, poet. Sámi Duodji enthusiast. Vatnikbonker. War crime tribunal for RU collaborators on Twitter. Arm Ukraine Now. слава Україні!",1
534,Chef d'entreprise - de gauche radicale ! Maintenant virons #moudenc et sa clique de droite ! #Toulouse Anti LREMRN,0
7264,шоби шо?,0
1118,"The former Drunken Buttertart. Kicked out for using the Tor browser.
If you're wondering, I'm further left than you are :)",0
7176,Parti faire mon métier au Brésil en espérant y faire de belles plongées !,0
32186,"Support aux ukraniens, diverses nouvelles! 🇺🇦 #Ukraine #ArmUkraineNow  #StandWithUkraine #Kiev #Zelensky #EU #Europe 🇪🇺",1
27520,"Ich interessiere mich für Wargaming, speziell für Mikrorüstungs-Figurenspiele.",0
16006,"Cdn Painter, Poet, Political/Space Junkie, Cyclist, Foodie, Hydroponic Green Thumb. Cold weather builds character.
If you are an Idiot -Don't. Even. Bother.",0
8931,"Lebenskünstlerin  🌍🌎🌏🗽 🗽🗽 🌊🌊 straightforward  critical humorous                                  
📚☕💻 ✍️🎨 🏴‍☠️ ( fast ) alles aus eigener Produktion",0
17856,"Playing 80's - 90's Themed Rock. 
Featuring Local Bands. 
All Rock / All Local / All The Time 
Commercial Free! Tell All Your Friends!",0
21384,Robię pierwsze kroki w WEB design.,0
6938,"I'm a bot. Every minute of every day, I tell Putin to go fuck himself in various languages of the world. #IStandWithUkraine 🇺🇦",1
7296,My job is to convey the truth even if you don't like it,0
21705,"Yorkshire, Mama to an amazing 24 weeker. Ukrainian and proud. 💙💛🇺🇦",1
18251,Welsh | Londoner | Filmmaker | Interested in modern history and the downfall of tyrants anywhere & everywhere.,0
15826,"Daily Civil Aviation News. Airlines, airframe manufacturers, engines manufacturers, MROs and training academies.",0
3771,"Украинский писатель, журналист, телеведущий, основатель интернет-издания @Gordonuacom. https://t.co/Xt1COHTG44…",0
25257,I live in the time of heroes,0
5237,"Deutschsprachiges Forum zur Ukraine:
Diskussionen, Tipps und Infos zu Reisen, Sprachen, Menschen, Visa, Kultur oder für nette Bekanntschaften in der Ukraine",0
899,"Nessuno. 
Ma #fellas 💪🇺🇦 e pro #lgbtq 🏳️‍🌈
#Zelenskywarhero 💙💛💘",1
31195,Jeolog Fahri Çelik,0
9701,La vérité la sagesse,0
25385,Supporting European News with facts and links to content relevant to current events,0
11979,"Wife of Alan Alper, mom of Manny the Akita, tough liberal patriot, Washingtonian by choice, eccentric polymath. Tweets mine alone. 🇺🇲🇺🇦🇵🇫🇮🇪",0
21644,"Wherever there is injustice, you will find us.
Wherever there is suffering, we'll be there.
Wherever liberty is threatened, you will find...",0
2541,"ДТП Киев Авария ФОТО ВИДЕО
https://t.co/pL0HKi1Cnx",0
14372,"Global Tech Manager, world traveler (set foot on all 7 continents) #author of Mumbai Matinee. #podcast - the Y in History.",0
29771,"Wherever there is injustice, you will find us.
Wherever there is suffering, we'll be there.
Wherever liberty is threatened, you will find...",0
23545,Розпочинаю серію: #Твіти_з_Богом 👼🌞❤️ ⛪📕😍🕊️,0
9353,"Comunicación, gobierno y ciudadania. Optimista de un México mejor.",0
26579,كـاتـب ونـاقـد فـنـي لصـحـن #الـفـول❤️إذا يزعجك طرحي وفكري لا تزعج نفسك بمتابعتي❤️إذا عشقت لا تعشق غير شيئاً خالد ❤️الحرية أمانة ومسؤولية❤️ سعودي الهوى والهوية,0
10493,"Я МіріаМ - майбутня крута українська співачка😜    Ділюся тим, що ллється з моєї душі, з мого серця та поширювати це світу🐠",0
6730,Scum of the earth ✨Anglican Priest⚡️Look like I just left a bar-fight💥Love Saint Francis❣️Chaplain on the street🌎Chattanooga Street Chapel🔥dream music🎧pray,0
10405,Redaktionen newsfhg (Fb) https://t.co/l38x6Mheft 📚 journews #Journalismus Medien #IDFP IMP https://t.co/YmB3t7t8b9 | RT'snoEnd,0
15868,"Ἐρχου καὶ ἴδε
NATO+EU member state-defibrillated medium™
All under Haven't℗
Thomas Pynchon Truther®
Το 'χουμε!©
Parody posts contain: ℗®©
What's a parody post?",0
33148,Never trust a dog to watch your food.,0
12591,"#homeownership in #sydney becoming a fairy tale, rent free or die trying",0
7059,"Just a music maker based in Lviv, Ukraine.",0
5721,Not too serious anbout myself.,0
25532,Secrétaire Général OM Kinshasa & Head of Administration Nebok group sarl,0
23603,"🇺🇸🙏🏻✝️ Protestant (Catholics don't bother me) cope, i'm Pro Palestine Pro Ukraine",1
16916,"bne IntelliNews publishes business news and data from Eastern Europe, Eurasia and MEA. Retweets are to inform, not endorse.",0
35283,Ukrainian American. Zero tolerance for people spreading Ruscist propaganda. Look it up.,1
20789,IT engineer. Focused on war in my country. #NAFO #Fellas #WeAreNAFO ✙ 🫡,1
11398,De zoektocht naar oorsprong van #COVID_19 #OriginsOfCovid #OriginsOfCovid19 . Covid_19 a Category B Bioweapon mutating into a Category A Bioweapon? 🕵️‍♂️,0
1605,"De Madrid, Cristiana. Mi Fuerza: JESÚS.   
¡no a las redes! Por libertad del individuo y derecho a expresión.          Libre Albedrío ¡SIEMPRE POR LA LIBERTAD!",0
29954,"#SlavaUkraïni
Cat adorer & knowledge lover—FREEDOM and Diversity
#TBI
NO JUSTICE NO PEACE–BLM–LGTBQally
followed by @ZerlinaMaxwell @mmpadellan 
RESIST",1
10120,Twitter newbie  | NFT enthusiast,0
29764,En Gud - Ett Rike - En Ledare.,0
19034,"I’m a child of the most high (Yahweh) who has studied end time bible prophecy regarding the Middle East region, broader world and beyond to heavens since 2005.",0
22282,"ni dieu, ni maître. Exploring epipaleolithic to see when, where & how we went wrong.
Big Issue:How to unfuck the #climate.
and I block dickheads
 #ClimateAction",0
22974,"Playing 80's - 90's Themed Rock. 
Featuring Local Bands. 
All Rock / All Local / All The Time 
Commercial Free! Tell All Your Friends!",0
10629,"We will update you on the latest conflicts around the globe
Telegram: https://t.co/WLr5HdKMZf",0
4516,English - hate racism,0
11137,"Dad, husband, Biophysics PhD, entrepreneur, angel investor, mountain-biker, traveller, engaged citizen, sane gun owner, avid but awful guitarist.  #ETTD",0
20061,Investigating energy/urban/society futures consistent with mitigating climate change  - Physicist & Neuroscientist by education. CLA in IPCC WGIII.,0
35236,18🇩🇰 perm susd 23 times,0
9843,"product designer, щаслива собако-кото-мамка, пошановувачка процесів бродіння та кислої кави",0
